,name,cik
176,CLOUDWARD INC,nan
177,CODE REBEL CORP,1613011
178,COM GUARD.COM INC,1103759
179,CORNERSTONE ONDEMAND INC,1401680
180,CYBERFORT SOFTWARE INC,1522787
181,DEALERADVANCE INC,1133598
182,DIGILITI MONEY GROUP INC,1487906
183,DUCK CREEK TECHNOL INC,1160951
184,E2OPEN INC,1540400
185,ELASTIC NETWORKS INC,1088242
186,ELASTIC NV,1707753
187,ELCOM INTERNATIONAL INC,900096
188,ENTERPRISE INFORMATICS INC,813747
189,EZENIA INC,943894
190,FALCONSTOR SOFTWARE INC,922521
191,FANTASY ACES DAILY FANTASY,1653115
192,FIREEYE INC,1370880
193,FRIENDFINDER NETWORKS INC,1451951
194,GIVEMEPOWER CORP,1064722
195,GRANDPARENTS.COM INC,1020475
196,GREEN POLKADOT BOX INC,1159464
197,HOPTO INC,1021435
198,HRSOFT INC,nan
199,IBSG INTERNATIONAL INC,1031905
200,IMAGEWARE SYSTEMS INC,941685
201,INFORMATION RESOURCES INC,714278
202,INTEGRATED BUSINESS SYS &SVC,1040863
203,INTELLIGENT SYSTEM CORP,nan
204,INTELLINETICS INC,1081745
205,INTERMAP TECHNOLOGIES CORP,1285170
206,INTERNATIONAL LEADERS CAP CO,1470550
207,IRONCLAD ENCRYPTION CORP,1455926
208,ISIGN SOLUTIONS INC,727634
209,ISOCIALY INC,1716726
210,IVEDA SOLUTIONS INC,1397183
211,J2 GLOBAL INC,1084048
212,JDA SOFTWARE GROUP INC,1006892
213,KIWIBOX COM INC,838796
214,KRONOS INC,886903
215,LAWSON SOFTWARE INC,1344632
216,LEVELBLOX INC,1473654
217,LIQUI-BOX CORP,216430
218,LIQUID HOLDINGS GROUP INC,1562594
219,MAIL BOXES ETC,791014
220,MAX SOUND CORP,1353499
221,MEDALLIA INC,1540184
222,MEDALLIANCE INC,nan
223,MGT CAPITAL INVESTMENTS INC,1001601
224,MIX TELEMATICS LTD,1576914
225,MOBILEIRON INC,1470099
226,MONSTER ARTS,1423746
227,NEOMEDIA TECHNOLOGIES INC,1022701
228,NOTIFY TECHNOLOGY CORP,1031980
229,OMTOOL LTD,1020579
230,PAID INC,1017655
231,PALANTIR TECHNOLOG INC,1321655
232,PARETEUM CORP,1084384
233,PAYBOX CORP,879703
234,PLURALSIGHT INC,1725579
235,PRIMAL SOLUTIONS INC,1124217
236,PROOFPOINT INC,1212458
237,PULSE EVOLUTION CORP,1583138
238,QAD INC,1036188
239,RAADR INC,1384365
240,RAND WORLDWIDE INC,852437
241,REALPAGE INC,1286225
242,RIGHTSCORP INC,1506270
243,ROCKETFUEL BLOCKCHAIN INC,823546
244,RORINE INTL HOLDING CORP,1423586
245,ROSETTA STONE INC,1351285
246,SCIENT INC,1158019
247,SHARPSPRING INC,1506439
248,SIMTROL INC,846775
249,SITO MOBILE LTD,1157817
250,SKYBOX INTL INC,909687
251,SLACK TECHNOLOGIES INC,1764925
252,SMARTMETRIC INC,1301991
253,SOFTECH INC,354260
254,SS&C TECHNOLOGIES HLDGS INC,1402436
255,SSI INVESTMENTS II LTD,1501919
256,SVMK INC,1739936
257,SYNACOR INC,1408278
258,TAUTACHROME INC,1389067
259,TELENAV INC,1474439
260,THEGLOBE.COM INC,1066684
261,TIBCO SOFTWARE INC,1085280
262,TINTRI INC,1554875
263,TMM INC,939652
264,ULTIMATE SOFTWARE GROUP INC,1016125
265,UNITRONIX CORP,835270
266,VANCORD CAPITAL INC,nan
267,VDO-PH INTERNATIONAL INC,1499355
268,VERB TECHNOLOGY CO INC,1566610
269,VERTICAL COMPUTER SYS INC,1099509
270,VIVA ENTERTAINMENT GROUP INC,1479000
271,VOYAGER DIGITAL LTD,1827032
272,VUBOTICS INC,1100981
273,WOD RETAIL SOLUTIONS,704366
274,XCELMOBILITY INC,1465509
275,YAPPN CORP,1511735
276,ZOOM TELEPHONICS INC,822708
277,ZOOMAWAY TRAVEL INC,1541054
278,AMERICAN SOFTWARE  -CL A,713425.0
279,AVAYA HLDGS CORP,1418100.0
280,BLAQCLOUDS INC,nan
281,CHINA YANYUN YHU NTL ED GRP,nan
282,FLEXSHARES IBOXX 3-YR TAR FD,nan
283,FLEXSHARES IBOXX 5-YR TAR FD,nan
284,ISHARES IBOXX HIGH YLD CP BD,nan
285,ISHARES IBOXX INVST GR CP BD,nan
286,LIVE MICROSYSTEMS INC,nan
287,MEDIATECHNICS CORP,nan
288,QUANTGATE SYSTEMS INC,nan
289,SAILPOINT TECHNO HLDG,1627857.0
290,VMWARE INC -CL A,1124610.0
291,ZOOM VIDEO COMUNICATIONS INC,1585521.0
